Park Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
Fort Point NHS,"1,617,824","1,596,933","1,660,007","1,682,041","1,613,853","1,552,141","1,390,187","1,385,134","1,315,241","1,338,508","1,502,786","1,591,312","1,677,457","1,610,466","2,264,154","1,532,541","1,400,491","1,421,349","884,538","947,238","1,499,210"
Fort Pulaski NM,"354,070","331,059","319,586","297,982","333,378","317,349","352,636","435,661","416,292","408,104","385,751","374,408","387,010","382,945","344,921","360,591","419,930","374,290","357,970","419,480","368,671"
Fort Raleigh NHS,"278,565","177,263","270,050","276,071","299,432","321,717","311,751","338,212","305,711","282,134","281,833","263,598","264,987","289,885","292,367","274,981","261,198","248,139","153,519","293,447","274,243"
Fort Scott NHS,"38,439","29,650","28,973","25,798","24,269","22,314","25,322","28,544","27,635","26,219","25,034","25,773","25,966","25,531","29,291","28,948","26,482","24,068","14,652","22,894","26,290"
Fort Smith NHS,"74,906","73,676","78,444","74,400","77,014","83,850","75,174","63,540","68,678","86,122","87,386","69,584","88,790","111,469","163,636","141,914","136,568","125,500","67,574","99,854","92,404"
Fort Stanwix NM,"77,863","56,646","68,427","38,237","60,589","59,643","71,263","93,170","103,748","102,874","195,057","129,089","60,819","86,678","94,006","106,936","90,507","97,412","24,134","45,684","83,139"
Fort Sumter and Fort Moultrie NHP,"922,776","839,036","781,239","779,390","776,162","788,838","744,971","785,604","797,713","857,883","842,027","815,007","828,521","840,711","888,330","896,569","859,880","877,894","365,133","349,492","781,859"
Fort Union NM,"13,198","12,944","13,230","11,645","10,347","10,534","9,171","11,070","10,638","9,575","9,215","8,965","10,934","11,726","11,953","11,676","10,860","11,063","5,334","12,618","10,835"
Fort Union Trading Post NHS,"21,256","24,024","21,511","16,940","13,392","12,405","11,533","15,141","14,458","12,236","12,677","12,908","11,521","13,605","17,502","13,329","13,551","12,967","5,225","11,479","14,383"
Fort Vancouver NHS,"387,394","510,383","682,415","801,198","690,307","682,645","894,417","1,017,326","786,989","710,439","681,404","733,540","803,740","818,672","1,092,031","1,081,489","1,098,553","1,018,214","670,111","809,525","798,540"
Fort Washington Park,"287,233","264,566","253,486","306,802","315,390","324,660","484,202","339,370","352,883","409,381","368,824","443,918","466,078","337,433","560,358","317,470","316,052","423,868","160,289","636,276","368,427"
Fossil Butte NM,"19,320","19,417","18,288","17,779","16,631","19,853","17,727","18,693","19,700","16,552","17,084","17,662","16,623","19,293","20,737","21,978","21,349","20,554","13,176","21,153","18,678"
Franklin Delano Roosevelt MEM,"2,493,089","2,121,931","3,038,046","2,852,565","2,662,016","2,751,725","2,622,806","2,591,241","2,238,052","2,309,708","2,764,459","2,837,729","2,938,239","3,290,080","4,360,502","3,507,402","3,288,299","3,303,573","1,010,986","2,022,050","2,750,225"
Frederick Douglass NHS,"39,369","54,350","53,046","23,226","17,947","37,468","37,852","43,483","44,699","46,694","53,314","47,625","45,492","53,873","67,387","76,569","70,869","61,063","10,969","1,807","44,355"
